                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                      0,               0.061653,               0.059125,               0.057099,               0.030122,                0.56603,                0.35653,                0.31792,                0.17292,                0.56149,                0.35864,                0.31413,                0.18389,               0.034958,               0.027654,               0.012668,               0.023899,               0.070093,               0.003323,               0.003323
                      1,               0.044503,               0.038454,               0.048057,               0.020054,                0.61343,                0.45122,                0.48973,                0.25229,                0.67773,                0.46137,                0.47998,                0.27895,               0.033922,                0.02763,               0.012036,               0.011134,               0.039793,              0.0063568,              0.0063568
                      2,               0.040377,               0.036961,               0.046114,               0.012724,                0.52279,                0.58674,                0.61578,                0.35335,                0.52781,                0.57755,                0.59847,                0.35696,               0.031646,                0.02886,               0.012155,              0.0077602,              0.0091935,              0.0090906,              0.0090906
                      3,               0.035983,               0.036448,               0.046664,               0.010379,                0.51653,                0.60768,                0.61365,                 0.4035,                0.54262,                0.57318,                0.59591,                0.35672,               0.028321,                0.02889,               0.013025,              0.0050768,                0.00865,                0.00865,                0.00865
                      4,               0.033697,               0.035517,               0.045653,              0.0089217,                 0.6055,                 0.7359,                0.69679,                0.49604,                0.61092,                0.72161,                0.68261,                0.43468,               0.024655,               0.024789,               0.012546,              0.0040604,                0.00865,                0.00865,                0.00865
                      5,               0.031338,               0.034772,               0.045137,              0.0080511,                0.73321,                0.78411,                 0.8152,                 0.5864,                0.72203,                0.77431,                0.79205,                0.51237,               0.023668,               0.023278,               0.010334,              0.0037055,                 0.0082,                 0.0082,                 0.0082
                      6,               0.029819,                0.03371,               0.043706,              0.0076141,                0.72211,                0.74799,                0.80281,                0.55526,                 0.7276,                0.72823,                0.79243,                0.53316,                0.02269,               0.021202,               0.010812,              0.0029216,                0.00775,                0.00775,                0.00775
                      7,               0.028776,                0.03316,               0.042735,              0.0069872,                0.75564,                0.73685,                0.80499,                0.54273,                0.76966,                0.71078,                0.79096,                 0.5244,                 0.0235,               0.021389,               0.010665,              0.0028502,                 0.0073,                 0.0073,                 0.0073
                      8,               0.027862,               0.032056,               0.042427,              0.0063971,                0.71061,                0.80937,                 0.8314,                0.62336,                0.74584,                0.76455,                0.81768,                0.55737,               0.020895,               0.020534,               0.010032,              0.0019636,                0.00685,                0.00685,                0.00685
                      9,               0.026591,               0.031717,               0.041283,               0.006132,                0.68922,                0.81699,                0.82509,                0.61743,                0.67853,                0.80588,                0.81724,                0.56683,               0.021046,               0.020236,              0.0097584,              0.0021226,                 0.0064,                 0.0064,                 0.0064
                     10,               0.025774,                0.03109,               0.040224,              0.0057965,                0.72891,                0.84949,                0.85858,                0.65126,                0.73282,                0.84999,                0.85239,                0.61705,               0.019916,               0.018846,              0.0095969,              0.0020554,                0.00595,                0.00595,                0.00595
                     11,               0.025224,               0.030502,               0.039889,              0.0055009,                0.76916,                0.79961,                0.86184,                0.64647,                0.76453,                0.79741,                0.84765,                0.60561,               0.020078,                0.01836,              0.0097277,              0.0015054,                 0.0055,                 0.0055,                 0.0055
                     12,               0.024269,                 0.0298,               0.039053,              0.0053095,                0.75451,                0.80088,                0.86158,                0.65027,                0.74272,                0.79031,                0.84587,                0.61399,               0.019845,               0.018311,              0.0093962,              0.0017153,                0.00505,                0.00505,                0.00505
                     13,               0.023371,               0.029418,               0.038321,              0.0050419,                0.77664,                0.80218,                0.85907,                0.66287,                0.75421,                0.80556,                0.84286,                0.62752,               0.019094,               0.017244,              0.0092948,              0.0017709,                 0.0046,                 0.0046,                 0.0046
                     14,               0.022817,               0.028472,               0.037663,              0.0047048,                0.76992,                0.85199,                0.87454,                0.67124,                0.75958,                0.84817,                0.86199,                0.63421,               0.018942,               0.017458,              0.0094912,              0.0016857,                0.00415,                0.00415,                0.00415
                     15,               0.022062,               0.028452,               0.037193,              0.0046121,                0.75864,                0.85569,                0.86586,                0.66156,                0.74391,                0.84348,                0.84223,                0.62028,               0.018936,               0.017657,              0.0087136,              0.0018765,                 0.0037,                 0.0037,                 0.0037
                     16,               0.021223,               0.027761,               0.035691,              0.0042257,                0.75872,                0.88132,                0.88452,                0.70904,                0.75373,                0.87489,                0.87204,                0.66201,               0.017942,                0.01692,              0.0088316,              0.0019641,                0.00325,                0.00325,                0.00325
                     17,               0.020938,               0.027932,               0.035709,              0.0043025,                0.77755,                 0.8753,                 0.8991,                0.71687,                0.77454,                0.87238,                0.89096,                0.66046,               0.017934,               0.017007,              0.0085803,              0.0014545,                 0.0028,                 0.0028,                 0.0028
                     18,               0.020208,               0.026896,               0.034348,              0.0040337,                0.81649,                0.85878,                0.89983,                0.71589,                0.80402,                0.84874,                0.88261,                0.66975,               0.017279,               0.016224,              0.0085095,              0.0012238,                0.00235,                0.00235,                0.00235
                     19,               0.019691,               0.026762,               0.033951,              0.0036682,                0.79779,                 0.8608,                0.89861,                0.72765,                0.79076,                0.85579,                0.88559,                0.68739,                 0.0176,                0.01599,              0.0081821,              0.0009479,                 0.0019,                 0.0019,                 0.0019
                     21,                0.79773,                0.86044,                 0.8985,                0.72691,                0.79052,                0.85576,                0.88546,                0.68746,               0.017597,               0.015992,              0.0081837,             0.00094773
